source_date,title,hook,mechanic,evidence,source_urls,boundary_note,editorial_dependency,assignment_status
03.01,"Железный цветок, который освещал вечер",У этого цветка горели три бутона. Зачем под него ставили корыто с водой?,Разместить лучины в зажимах цифровой модели светца и подставить корыто. Схема показывает свет и путь падающих угольков; посетитель раскрывает назначение деталей.,"Светец XVIII в., Государственный Русский музей. Три держателя лучин и установка в корыто описаны в карточке; место изготовления не названо.",https://ar.culture.ru/ru/subject/svetec-18,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
04.01,Ухват: достать ужин из глубины печи,"Горшок раскалён, а ручек нет. Как поставить ужин на стол?",Подобрать ухват к форме чугунка и провести его по схеме печи. Неподходящий размер не удерживает посуду; правильный позволяет понять работу инструмента.,"Ухват, Вологодская губерния, вторая половина XIX в.; РЭМ. Карточка подтверждает назначение и применение разных размеров ухватов.",https://ar.culture.ru/ru/subject/uhvat-27,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
05.01,"Валенок: обувь, которую не шьют","Ни подошвы, ни шва — а получился сапог. Что сделали с обычной шерстью?",Последовательно менять состояние шерсти в учебной модели валяния: рыхлое волокно превращается в плотную форму. Рядом открывается запись работы мастера.,Арзамасский уезд: валяльный промысел XIX в. и его музейная передача сегодня. Музейное описание подтверждает мокрое валяние; конкретная историческая пара пока не выбрана.,https://www.culture.ru/events/6386470/interaktivnoe-zanyatie-izgotovlenie-suvenirnogo-valenka,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
10.01,"Архангельская козуля: подарок, который можно съесть",Почему рождественское пожелание в Архангельске можно было подарить в виде пряника?,Сравнить объёмную фигурку и силуэтный пряник; собрать собственный силуэт по музейному образцу. В ответ открывается история перехода от одной формы выпечки к другой.,"Архангельск, северная традиция XIX–XX вв. Музей козули показывает воссозданные силуэтные образцы начала XX в.; зимняя приуроченность подтверждена музейной экскурсией.",https://www.culture.ru/institutes/88164/muzei-arkhangelskogo-pryanika-kozuli ; https://www.culture.ru/events/5182957/ekskursiya-arkhangelskaya-kozulya-tradicii-i-sovremennost,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
11.01,Сани-ходок: выйти в свет на полозьях,"Бархатное сиденье, бахрома, меховой полог. Зачем саням столько наряда?","Поворачивать цифровой вид саней, поочерёдно открывая сиденье, полозья и полог. Снарядить пассажира для зимней поездки и увидеть связь удобства и представительности.","Сани-ходок конца XIX — начала XX в.; собрание Музея Ф. М. Решетникова, Екатеринбург. Место изготовления в карточке не приведено; хранение не выдаётся за происхождение.",https://ar.culture.ru/ru/subject/hodok-starinnaya-povozka-na-polozyah,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
12.01,Парень в картузе: мода пришла в деревню,"Кумачовая рубаха, жилет и картуз: что выдавало деревенского модника?","Сопоставить два атрибутированных мужских комплекта; включать слой покупных тканей и новых деталей. Увидеть, как торговля и городская мода меняли деревенский наряд.",Калужская губерния; костюм парня брачного возраста описан в альбоме РЭМ. Основной массив альбома: середина XIX — первая треть XX в.; датировки отдельных вещей уточнить.,https://collection.ethnomuseum.ru/entity/ARTICLE/2311,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
16.01,Коруна: крестьянская девушка в жемчужном венце,Драгоценный венец — у деревенской девушки. Как его делали и когда надевали?,"Раскрыть головной убор по слоям: основа, шитьё, украшения. При добавлении слоя меняется вид; посетитель понимает труд, скрытый за праздничным блеском.","Русские Заонежья и Пудожья; музей «Кижи» описывает коруну и местные названия «козырёк», «жемчуга». Для дня выбирается русский вариант, не весь многоэтничный ряд.",https://site.kizhi.karelia.ru/crafts/izgotovlenie-koronyi,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
20.01,"Прялка, на которой поместилась семья","Семья пьёт чай, рядом колокольня и двуглавый орёл. Зачем всё это вырезали на прялке?","Приближать резьбу и находить сцены; затем отойти к целому предмету. Посетитель соединяет рабочую вещь с миром её создателя, отделяя увиденное от догадки.","РЭМ 468-1: первая половина XIX в.; Новгородская губерния по документации, ярославско-костромской тип «терем». Вырезана из цельного куска дерева; жанровые сцены описаны музеем.",https://collection.ethnomuseum.ru/entity/OBJECT/303042,Главное действие исходника — наблюдение резьбы; отдельная история прядильщицы потребует другого рассказа.,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
21.01,Как из кудели появляется нить,Прялка стоит неподвижно. Что же на самом деле превращает волокно в нить?,Управлять вытягиванием пряди и вращением веретена в учебной анимации. По изменениям скрутки понять разные задачи прялки и веретена.,"Олонецкая губерния; «Кижи» описывают крепление кудели, вытягивание волокна и скручивание веретеном. Для русского сценария выбирается пример Заонежья.",https://site.kizhi.karelia.ru/crafts/pryadenie,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
22.01,Рубель: разгладить без горячего утюга,Эта ребристая доска не стирает. Как она расправляет жёсткое бельё?,Намотать виртуальную ткань на скалку и прокатить рубель. Анимация показывает действие рёбер и нажима; результат связывает форму вещи с трудом хозяйки.,"Рубель начала XX в., Музей Ф. М. Решетникова, Екатеринбург. Карточка описывает накручивание белья на скалку и прокатывание; точное место изготовления не указано.",https://ar.culture.ru/ru/subject/rubel-38,,Есть адрес предметной карточки; сверить содержание и медиа,Редакторское предложение; новая дата выпуска не назначена
23.01,Пояс: узор рождается между нитями,"Поднял дощечку, опустил — и нити поменялись местами. Как из этого получается пояс?","Поднимать и опускать бёрдышко, проводить челнок. На экране растёт короткий образец пояса; посетитель видит, как переплетение образует тканую полосу.","Русские Заонежья и Пудожья; «Кижи» прямо называют эти группы среди носителей ткачества на бёрдышке. Описаны отверстия, прорези и образование зева.",https://site.kizhi.karelia.ru/crafts/tkachestvo-poyasov-na-byordyishke,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
24.01,"Понёва: клетка, по которой различали наряды",Перед нами русские женские наряды — а привычного сарафана нет. Что рассказывает клетчатая понёва?,"Сопоставить комплексы двух названных сёл, открыть крой и клетку понёв. Сравнение показывает местные различия без игры в угадывание происхождения человека.",РЭМ: комплексы с понёвой из с. Нижняя Ведуга Воронежской губ. и с. Свинушки Рязанской губ. Альбом подтверждает местные различия; даты выбранных вещей уточнить.,https://collection.ethnomuseum.ru/entity/ARTICLE/2311,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
26.01,Самовар: горячая вода собирает гостей,"Вода окружает огонь, но не гасит его. Что спрятано внутри самовара?","Открыть разрез угольного самовара и проследить путь тепла к воде, затем перейти к сервировке. Устройство вещи связывается с совместным чаепитием.",Тула; музей «Тульские самовары» объясняет устройство настоящего угольного самовара через демонстрацию. Исторический экспонат и датировку для календаря ещё выбрать.,https://museum-tula.ru/muzei/muzej-samovar/afisha/14568/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
