Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
01.09;"Первый школьный ранец: учёба становится дорогой. [У] Редакционное размещение; не историческая дата возникновения.";Первый ранец собирает школьные вещи в дорожный набор. Учёба становится ежедневным выходом из дома — новый порядок жизни виден в одном предмете.;"Собрать набор по выбранной школьной фотографии; раскрыть назначение каждой подписанной вещи.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
02.09;"Перьевая ручка: строка зависит от движения. [У] Редакционное размещение; не историческая дата возникновения.";Перьевая ручка оставляет строку по движению руки. Нажим и направление становятся частью письма: инструмент требует освоенного телесного навыка.;"Провести условный штрих с разным нажимом; сравнить его с выбранной ученической работой.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
03.09;"Пропись: много одинаковых букв ради собственного почерка. [У] Редакционное размещение; не историческая дата возникновения.";Одинаковые буквы в прописи готовят собственный почерк. Повторение даёт руке уверенность, прежде чем запись начнёт отличаться личным движением.;"Сопоставить учебный образец и страницу ученика; найти удачные соединения и заметные исправления.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
04.09;"Промокательная бумага: помощница мокрой строки. [У] Редакционное размещение; не историческая дата возникновения.";Промокательная бумага помогает ещё мокрой строке. Маленькая школьная принадлежность хранит способ письма, которому требовалось время на высыхание.;"На схеме письма выбрать момент промокания; открыть бытовую функцию выбранного школьного предмета.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
05.09;"Счёты: число видно по положению косточек. [У] Редакционное размещение; не историческая дата возникновения.";На счётах число видно по положению косточек. Движение пальцев меняет запись и расчёт — абстрактное количество получает материальную форму.;"Выполнить одну операцию на условных счётах; открыть соответствие разрядов цифрам.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
06.09;"Гиря с клеймом: доверие к маленькому грузу. [У] Редакционное размещение; не историческая дата возникновения.";Клеймо на гире связано с доверием к мере. Маленький груз участвует в сделке, где покупателю и продавцу важно одинаково понимать вес.;"Найти отметки на выбранном образце; отделить прочитанные знаки от неустановленных.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
07.09;"Безмен: вес на одной подвеске. [У] Редакционное размещение; не историческая дата возникновения.";Безмен взвешивает груз на подвеске. Компактное устройство переводит тяжесть вещи в положение, по которому человек узнаёт меру.;"Переместить условный груз до равновесия; сопоставить принцип с музейным безменом.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
08.09;"Аршин: ткань продают длиной. [У] Редакционное размещение; не историческая дата возникновения.";Аршином отмеряют ткань для продажи. Будущий наряд начинается с длины полотна — привычная мера связывает торговлю с работой портного.;"Отмерить условный отрез по выбранной исторической мерке; сопоставить её с современной линейкой после проверки величины.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
09.09;"Ярмарочный ряд: покупки складываются в маршрут. [У] Редакционное размещение; не историческая дата возникновения.";Ярмарочные покупки складываются в путь между рядами. Торговое пространство организует встречу разных нужд, товаров и человеческих занятий.;"По плану выбранной ярмарки составить путь за тремя товарами; открыть специализацию рядов.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
10.09;"Товарная этикетка: упаковка обещает качество. [У] Редакционное размещение; не историческая дата возникновения.";Товарная этикетка обещает качество до открытия упаковки. Надпись и рисунок показывают, как производитель обращается к незнакомому покупателю.;"Рассмотреть подлинную этикетку; выделить производителя, место и рекламное обещание.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
