Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
01.01;Ёлочная игрушка: история страны на одной ветке. [К] Новый год;На одной домашней ёлке соседствуют ангел и ракета. Маленькие игрушки сохраняют следы больших перемен в жизни русской семьи.;Передвигать шкалу времени: меняются украшения на ёлке и семейная обстановка. Сопоставить две эпохи и увидеть, как общий праздник менялся вместе со страной.;"Россия, городской и семейный быт XIX–XX вв. История смены рождественской и новогодней игрушки подтверждена обзором; отдельные музейные игрушки ещё выбрать. Источник: Культура.РФ — история ёлочной игрушки: https://www.culture.ru/materials/252999/istoriya-elochnoi-igrushki"
02.01;Дом Ошевневых: хозяйство под одной крышей. [У] зимняя жизнь дома;Семья идёт к скотному двору, не выходя под снег. Северный дом собирает жильё и хозяйство под одной крышей — мороз меняет сам план жизни.;Проложить по плану путь из зимней избы в хозяйственную часть. Открывающиеся помещения показывают, как дом помогал вести хозяйство в холодное время.;"Русские Заонежья; д. Ошевнево, 1876 г. Музей «Кижи»: дом-комплекс с жилой и хозяйственной частями; интерьер представляет быт конца XIX — начала XX в. Источник: Кижи — дом Ошевнева: https://site.kizhi.karelia.ru/architecture/russkie-zaonezhya/dom-oshevneva-iz-d-oshevnevo"
03.01;Железный цветок, который освещал вечер. [У] длинный зимний вечер;У железного цветка горят три бутона-лучины. Корыто с водой внизу выдаёт цену домашнего света: за каждым огоньком приходилось следить.;"Разместить лучины в зажимах цифровой модели светца и подставить корыто. Схема показывает свет и путь падающих угольков; посетитель раскрывает назначение деталей.";"Светец XVIII в., Государственный Русский музей. Три держателя лучин и установка в корыто описаны в карточке; место изготовления не названо. Источник: Русский музей — светец, ARTEFACT: https://ar.culture.ru/ru/subject/svetec-18"
04.01;Ухват: достать ужин из глубины печи. [У] зимняя кухня;Горшок раскалён, а ручек нет. Железная рогатина ухвата позволяет достать ужин из глубины печи — работа держится на точном движении рук.;"Подобрать ухват к форме чугунка и провести его по схеме печи. Неподходящий размер не удерживает посуду; правильный позволяет понять работу инструмента.";"Ухват, Вологодская губерния, вторая половина XIX в.; РЭМ. Карточка подтверждает назначение и применение разных размеров ухватов. Источник: РЭМ — ухват, ARTEFACT: https://ar.culture.ru/ru/subject/uhvat-27"
05.01;Валенок: обувь, которую не шьют. [У] зимняя одежда;Ни подошвы, ни шва — а получился сапог. Мастер уплотняет шерсть в валенок: мягкие волокна становятся защитой от русского зимнего холода.;Последовательно менять состояние шерсти в учебной модели валяния: рыхлое волокно превращается в плотную форму. Рядом открывается запись работы мастера.;"Арзамасский уезд: валяльный промысел XIX в. и его музейная передача сегодня. Музейное описание подтверждает мокрое валяние; конкретная историческая пара пока не выбрана. Источник: Арзамасский музей — валяльный промысел: https://www.culture.ru/events/6386470/interaktivnoe-zanyatie-izgotovlenie-suvenirnogo-valenka"
06.01;Рождественский сочельник: последний постный вечер. [К] канун Рождества, 6 января;До Рождества одна ночь, а стол ещё постный. Сочельник отделяет ожидание от праздника — семейная трапеза хранит этот переход.;"Переключить два состояния одного стола — канун и праздник. Вещи и блюда раскрываются с пояснениями о посте и ожидании; местное меню собирается по одному свидетельству.";Русская праздничная традиция. РЭМ: Рождественский пост завершается 24 декабря старого стиля / 6 января современного календаря. Конкретное село и меню требуют выбора. Источник: РЭМ — авторский цикл И. И. Шангиной: https://ethnomuseum.ru/collections/podkasty/shangina/
07.01;Рождественская звезда, которую носили по деревне. [К] Рождество, 7 января;Рождественскую звезду несут от дома к дому. Праздник выходит за семейный стол: соседскую дверь открывают песне и доброму пожеланию.;"Проследить на схеме путь христославов от дома к дому; у остановок раскрываются звезда, участники и поздравление. Узнать смысл совместного обхода.";"Русские; обряд славления Христа со звездой описан И. И. Шангиной в цикле РЭМ. Локальная запись и исторический предмет ещё подбираются. Источник: РЭМ — авторский цикл И. И. Шангиной: https://ethnomuseum.ru/collections/podkasty/shangina/"
08.01;Бабьи каши: поблагодарить за рождение. [К] второй день Рождества, 8 января;После Рождества благодарят женщину, помогавшую детям появиться на свет. За праздничным обычаем стоит труд повивальной бабки.;"Развернуть схему связей ребёнка, родителей и повитухи. Подарки и совместная трапеза открывают её место в жизни семьи; два местных варианта показываются раздельно.";"РЭМ подтверждает праздник повитух и рожениц, подарки и угощение кашей. Обзор говорит о разных губерниях, не называя одного села; локализацию уточнить. Источник: РЭМ — «Бабьи каши»: https://ethnomuseum.ru/collections/ethnocalendar/january/sukkot7/"
09.01;"Колядование: песня у соседского порога. [У] святочный период; не отдельный праздник 9 января";Певцы приносят пожелание доброго года, хозяева отвечают угощением. Святки превращают соседскую дверь в место взаимного дара.;Собрать маршрут обхода и сопоставить благопожелание с ответом хозяев. Голос и предметы раскрывают обмен поздравлениями и дарами между соседями.;"Русские; РЭМ описывает обходы с благопожелательными песнями в рождественский, новогодний и крещенский кануны. Название песни и её регион ещё выбрать. Источник: РЭМ — авторский цикл И. И. Шангиной: https://ethnomuseum.ru/collections/podkasty/shangina/"
10.01;Архангельская козуля: подарок, который можно съесть. [У] рождественская выпечка;Рождественское пожелание можно испечь и подарить. Архангельская козуля соединяет пряничное ремесло, праздничный образ и тепло рук.;"Сравнить объёмную фигурку и силуэтный пряник; собрать собственный силуэт по музейному образцу. В ответ открывается история перехода от одной формы выпечки к другой.";"Архангельск, северная традиция XIX–XX вв. Музей козули показывает воссозданные силуэтные образцы начала XX в.; зимняя приуроченность подтверждена музейной экскурсией. Источник: Музей архангельского пряника-козули: https://www.culture.ru/institutes/88164/muzei-arkhangelskogo-pryanika-kozuli; Музейная экскурсия — архангельская козуля: https://www.culture.ru/events/5182957/ekskursiya-arkhangelskaya-kozulya-tradicii-i-sovremennost"
11.01;Сани-ходок: выйти в свет на полозьях. [У] зимняя дорога и гулянье;Бархат, бахрома и мех едут по снегу. Нарядные сани превращают зимнюю дорогу в выход на люди — мастерство видно ещё до остановки.;Поворачивать цифровой вид саней, поочерёдно открывая сиденье, полозья и полог. Снарядить пассажира для зимней поездки и увидеть связь удобства и представительности.;"Сани-ходок конца XIX — начала XX в.; собрание Музея Ф. М. Решетникова, Екатеринбург. Место изготовления в карточке не приведено; хранение не выдаётся за происхождение. Источник: Музей Ф. М. Решетникова — ходок, ARTEFACT: https://ar.culture.ru/ru/subject/hodok-starinnaya-povozka-na-polozyah"
12.01;Парень в картузе: мода пришла в деревню. [У] одежда для встречи и гулянья;Кумачовая рубаха, жилет и картуз собираются в праздничный образ. Деревенский наряд хранит собственный язык щегольства и достоинства.;"Сопоставить два атрибутированных мужских комплекта; включать слой покупных тканей и новых деталей. Увидеть, как торговля и городская мода меняли деревенский наряд.";"Калужская губерния; костюм парня брачного возраста описан в альбоме РЭМ. Основной массив альбома: середина XIX — первая треть XX в.; датировки отдельных вещей уточнить. Источник: РЭМ — «Русский народный костюм», Е. Л. Мадлевская: https://collection.ethnomuseum.ru/entity/ARTICLE/2311"
13.01;Кольцо под блюдом: о чём спрашивали будущее. [К] Васильев вечер, 13 января;Кольцо достают наугад, а толкование задаёт песня. Подблюдное гадание сохраняет девичьи ожидания будущего, а не знание о грядущем.;"Сопоставить предмет из блюда с документированным песенным сюжетом и жизненным ожиданием. Меняется объяснение обряда; личное предсказание посетителю не создаётся.";"РЭМ описывает подблюдные гадания в канун Васильева дня: вещи участников, закрытое блюдо и песни. Это свидетельство поверий; локальный песенный текст ещё выбрать. Источник: РЭМ — Васильев вечер и Васильев день: https://ethnomuseum.ru/collections/ethnocalendar/january/sukkot8/"
14.01;Васильев день: посев среди зимы. [К] Васильев день, 14 января;За окном снег, а в доме разбрасывают зерно. Зимнее пожелание урожая переносит заботу о будущем поле прямо к семейному порогу.;"Соединить зерно, поздравительный обход и будущий хлеб в движущейся схеме. Действие раскрывает пожелание достатка; виртуальный урожай не изображает реальное действие обряда.";РЭМ: утреннее посевание на Васильев день, зёрна злаков, поздравления и ответные дары. 14 января соответствует 1 января юлианского календаря в XX–XXI вв. Источник: РЭМ — Васильев вечер и Васильев день: https://ethnomuseum.ru/collections/ethnocalendar/january/sukkot8/
15.01;Ряженые: сосед, которого нельзя узнать. [У] вторая неделя Святок;Тулуп вывернут, лицо скрыто — соседа трудно узнать. Ряженье позволяет знакомому человеку ненадолго войти в праздничную чужую роль.;Менять детали ряженья на подписанной реконструкции: силуэт и облик постепенно скрывают привычного человека. Объяснение связывает маску с особым временем праздника.;РЭМ, цикл И. И. Шангиной: маски, вывернутые тулупы, святочные игрища и временное изменение норм поведения. Региональный вариант пока не выбран. Источник: РЭМ — авторский цикл И. И. Шангиной: https://ethnomuseum.ru/collections/podkasty/shangina/
16.01;Коруна: крестьянская девушка в жемчужном венце. [У] праздничный девичий наряд;Деревенская девушка надевает нарядный венец. В маленьких деталях убора соединяются мастерство рук и торжественность выхода на люди.;"Раскрыть головной убор по слоям: основа, шитьё, украшения. При добавлении слоя меняется вид; посетитель понимает труд, скрытый за праздничным блеском.";"Русские Заонежья и Пудожья; музей «Кижи» описывает коруну и местные названия «козырёк», «жемчуга». Для дня выбирается русский вариант, не весь многоэтничный ряд. Источник: Кижи — изготовление короны: https://site.kizhi.karelia.ru/crafts/izgotovlenie-koronyi"
17.01;Парадная зала: деревенский дом встречает город. [У] зимнее гостевание;За бревенчатыми стенами открывается парадная зала. Северный дом хранит городской след: связь с Петербургом читается в его интерьере.;"Сравнить зимнюю избу и залу; по вещам раскрывать повседневные занятия и приём гостей. Смена комнаты показывает разные стороны жизни состоятельной семьи.";"Русские Заонежья, дом Ошевнева. «Кижи»: зала — музейная реконструкция образа состоятельной семьи с торговыми и родственными связями с Петербургом; открыта в 2016 г. Источник: Кижи — парадная зала дома Ошевнева: https://site.kizhi.karelia.ru/info/about/pressrelease/2016/10254.html"
18.01;Крещенский сочельник: вещи для особой воды. [К] канун Крещения, 18 января;Крест, ковш и ведро оказываются рядом. Крещенский праздник связывает церковный обряд с простыми вещами, которыми набирали и хранили воду.;Проследить путь воды от водосвятия к дому и рассмотреть назначение предметов на каждом участке. Изменяется предметная схема, раскрывая подготовку к празднику.;"РЭМ: выставка о крещенской воде включает крест и утварь для воды. Этнокалендарь подтверждает подготовку и водосвятие в сочельник; атрибуции конкретных сосудов уточнить. Источник: РЭМ — «Крещенский снег, крещенская вода»: https://ethnomuseum.ru/events1/exhibitions/past/vystavka-krewenskij-sneg-krewenskaya-voda/; РЭМ — Крещение Господне: https://ethnomuseum.ru/collections/ethnocalendar/january/kresch/"
19.01;Иордань: когда вся деревня шла к воде. [К] Крещение, 19 января;Зимнюю прорубь называют Иорданью. Имя далёкой реки входит в русский зимний пейзаж через память о Крещении и местный праздничный обряд.;Раскрыть на историческом изображении место водосвятия, участников и предметы. Схема связывает название «иордань», евангельский сюжет и местный праздничный обычай.;"РЭМ: прорубь-иордань и общественное водосвятие; Крещение завершает Святки. Источник обзорный, конкретную местную фотографию и её дату ещё подобрать. Источник: РЭМ — Крещение Господне: https://ethnomuseum.ru/collections/ethnocalendar/january/kresch/"
20.01;Прялка, на которой поместилась семья. [У] зимнее рукоделие;На прялке вырезаны чаепитие, колокольня и двуглавый орёл. Рабочая вещь становится маленькой картиной мира, оставленной мастером.;"Приближать резьбу и находить сцены; затем отойти к целому предмету. Посетитель соединяет рабочую вещь с миром её создателя, отделяя увиденное от догадки.";"РЭМ 468-1: первая половина XIX в.; Новгородская губерния по документации, ярославско-костромской тип «терем». Вырезана из цельного куска дерева; жанровые сцены описаны музеем. Источник: РЭМ — прялка 468-1: https://collection.ethnomuseum.ru/entity/OBJECT/303042"
