@05|Май|Весенний двор, одежда и выход в большой мир
Калитка: граница между своим двором и улицей|Гость и хозяин проходят одну калитку, но идут разными путями. Маленькая граница двора открывает порядок соседства и домашнего труда.|Открыть схему двора, выбрать путь гостя и хозяина; сравнить их остановки у хозяйственных построек.|R|Дом и соседство
Телега: летний путь крестьянского хозяйства|Телега отличается от саней не только колёсами. Летний путь требует другой опоры и размещения груза — устройство меняется вместе с дорогой.|На условной модели заменить ходовую часть; увидеть различия опоры и места для груза, затем рассмотреть музейный образец.|R|Дорога
Косоворотка: маленькое смещение большого значения|Застёжка косоворотки смещена в сторону. Небольшая деталь сразу меняет вид рубахи и помогает различить крой, не придумывая единую историю его появления.|Найти линию застёжки на увеличенном изображении; сопоставить её с рубахой другого покроя, без легенды о единственной причине возникновения.|costume|Одежда
Ластовица: свобода движения в небольшом лоскуте|Небольшой лоскут под рукавом даёт свободу движения. Ластовица показывает, как точная деталь меняет удобство рубахи из прямых полотнищ.|Добавить деталь к условному крою и сравнить движение рукава. Точный крой взять с выбранной русской рубахи.|costume|Одежда
Пастушеская сумка: день вдали от дома|Пастух уходит со стадом на целый день. Его сумка собирает нужное вдали от дома — каждый предмет занимает место ради конкретного дела.|Собрать набор по музейному описанию пастушеского быта; раскрыть назначение каждого выбранного предмета.|R|Труд
Егорий вешний: первый выход стада|Первый выход стада становится событием деревни. В обычаях Егорьева дня сезонный труд соединяется с заботой людей о благополучии хозяйства.|На карте выбранного села провести стадо от дворов к пастбищу; открыть подтверждённый местный обычай этого дня.|egorev-den-yurev-den-egorij-veshnij/К|Народный календарь
Ботало: найти животное по звуку|Корова скрылась из виду, но ботало выдаёт её движение. Маленькая звучащая вещь помогает человеку следить за стадом на расстоянии.|Сопоставить запись звучания с формой двух ботал; на условной звуковой карте найти движущийся источник.|R|Труд и звук
Куриное гнездо: маленькое хозяйство внутри большого|Для птицы во дворе отводят гнездо, корм и воду. Небольшой участок хозяйства показывает, сколько ежедневного внимания требует домашняя живность.|Расположить гнездо, корм и воду на схеме выбранного хозяйства; получить объяснение из музейного комментария.|R|Домашние животные
Семейная фотография после Победы|Большая Победа остаётся в семейном альбоме. Снимок сохраняет лица, а подписи и воспоминания возвращают имена людей и обстоятельства встречи.|Рассмотреть выбранный подписанный семейный снимок; отделить видимые детали от воспоминаний владельцев и сохранить карточку памяти.|den-pobedy/К|Семейная память
Прямой сарафан: ткань собирается в объём|Прямоугольные полотнища собираются в просторный сарафан. Объём рождается из сборки ткани — сложный силуэт начинается с простых частей.|Собрать условные полотнища и стянуть верх; сопоставить силуэт с атрибутированным музейным сарафаном.|costume|Одежда
Косоклинный сарафан: ширина спрятана в клиньях|Клинья расширяют подол, оставляя верх узким. В косоклинном сарафане мастерство кроя видно по тому, как распределяется ткань в движении.|Переставить клинья выкройки; увидеть изменение силуэта и сравнить с прямым сарафаном из соседнего дня.|costume|Одежда
Душегрея: короткая вещь поверх длинного сарафана|Короткая душегрея меняет вид длинного сарафана. Костюм складывается слоями: одна вещь задаёт новый силуэт всему наряду.|Добавлять слои к одному музейному комплекту; увидеть, какие части скрываются и какие остаются видны.|costume|Одежда
Передник-запон: повседневность выходит в узор|Передник защищает одежду и несёт отделку. Рабочая вещь может стать нарядной — местная традиция соединяет пользу с вниманием к красоте.|Сравнить два документированных передника одной традиции; отметить материал, отделку и следы использования.|collect|Рязанские традиции
