source_date,title,hook,mechanic,evidence,source_urls,boundary_note,editorial_dependency,assignment_status
01.01,Ёлочная игрушка: история страны на одной ветке,Как на домашней ёлке встретились дореволюционный ангел и советская ракета?,"Передвигать шкалу времени: меняются украшения на ёлке и семейная обстановка. Сопоставить две эпохи и увидеть, как общий праздник менялся вместе со страной.","Россия, городской и семейный быт XIX–XX вв. История смены рождественской и новогодней игрушки подтверждена обзором; отдельные музейные игрушки ещё выбрать.",https://www.culture.ru/materials/252999/istoriya-elochnoi-igrushki,История семейного праздника; изготовление игрушки может дать отдельную историю первого музея.,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
02.01,Дом Ошевневых: хозяйство под одной крышей,"До скотного двора можно дойти, не выходя под снег. Как жила семья в таком доме?","Проложить по плану путь из зимней избы в хозяйственную часть. Открывающиеся помещения показывают, как дом помогал вести хозяйство в холодное время.","Русские Заонежья; д. Ошевнево, 1876 г. Музей «Кижи»: дом-комплекс с жилой и хозяйственной частями; интерьер представляет быт конца XIX — начала XX в.",https://site.kizhi.karelia.ru/architecture/russkie-zaonezhya/dom-oshevneva-iz-d-oshevnevo,Устройство семейного хозяйства; архитектура дома остаётся контекстом.,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
06.01,Рождественский сочельник: последний постный вечер,До Рождества — одна ночь. Почему праздничный стол ещё остаётся постным?,Переключить два состояния одного стола — канун и праздник. Вещи и блюда раскрываются с пояснениями о посте и ожидании; местное меню собирается по одному свидетельству.,Русская праздничная традиция. РЭМ: Рождественский пост завершается 24 декабря старого стиля / 6 января современного календаря. Конкретное село и меню требуют выбора.,https://ethnomuseum.ru/collections/podkasty/shangina/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
07.01,"Рождественская звезда, которую носили по деревне",Звезда была не только на ёлке: с ней стучались в соседские двери. Зачем?,"Проследить на схеме путь христославов от дома к дому; у остановок раскрываются звезда, участники и поздравление. Узнать смысл совместного обхода.",Русские; обряд славления Христа со звездой описан И. И. Шангиной в цикле РЭМ. Локальная запись и исторический предмет ещё подбираются.,https://ethnomuseum.ru/collections/podkasty/shangina/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
08.01,Бабьи каши: поблагодарить за рождение,"После Рождества чествовали женщину, которая помогла тебе появиться на свет. Чем её благодарили?","Развернуть схему связей ребёнка, родителей и повитухи. Подарки и совместная трапеза открывают её место в жизни семьи; два местных варианта показываются раздельно.","РЭМ подтверждает праздник повитух и рожениц, подарки и угощение кашей. Обзор говорит о разных губерниях, не называя одного села; локализацию уточнить.",https://ethnomuseum.ru/collections/ethnocalendar/january/sukkot7/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
09.01,Колядование: песня у соседского порога,За пожелание доброго года открывали дверь и давали угощение. Что связывало хозяев и певцов?,Собрать маршрут обхода и сопоставить благопожелание с ответом хозяев. Голос и предметы раскрывают обмен поздравлениями и дарами между соседями.,"Русские; РЭМ описывает обходы с благопожелательными песнями в рождественский, новогодний и крещенский кануны. Название песни и её регион ещё выбрать.",https://ethnomuseum.ru/collections/podkasty/shangina/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
13.01,Кольцо под блюдом: о чём спрашивали будущее,"Кольцо вытаскивают наугад, а смысл даёт песня. О чём девушки хотели узнать?",Сопоставить предмет из блюда с документированным песенным сюжетом и жизненным ожиданием. Меняется объяснение обряда; личное предсказание посетителю не создаётся.,"РЭМ описывает подблюдные гадания в канун Васильева дня: вещи участников, закрытое блюдо и песни. Это свидетельство поверий; локальный песенный текст ещё выбрать.",https://ethnomuseum.ru/collections/ethnocalendar/january/sukkot8/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
14.01,Васильев день: посев среди зимы,"На улице снег, а зерно разбрасывают прямо в доме. Какого урожая здесь ждут?","Соединить зерно, поздравительный обход и будущий хлеб в движущейся схеме. Действие раскрывает пожелание достатка; виртуальный урожай не изображает реальное действие обряда.","РЭМ: утреннее посевание на Васильев день, зёрна злаков, поздравления и ответные дары. 14 января соответствует 1 января юлианского календаря в XX–XXI вв.",https://ethnomuseum.ru/collections/ethnocalendar/january/sukkot8/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
15.01,"Ряженые: сосед, которого нельзя узнать","Тулуп вывернут, лицо скрыто. Почему знакомый человек должен был стать неузнаваемым?",Менять детали ряженья на подписанной реконструкции: силуэт и облик постепенно скрывают привычного человека. Объяснение связывает маску с особым временем праздника.,"РЭМ, цикл И. И. Шангиной: маски, вывернутые тулупы, святочные игрища и временное изменение норм поведения. Региональный вариант пока не выбран.",https://ethnomuseum.ru/collections/podkasty/shangina/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
17.01,Парадная зала: деревенский дом встречает город,За бревенчатыми стенами — парадная зала. Как деревенская семья показывала связь с Петербургом?,Сравнить зимнюю избу и залу; по вещам раскрывать повседневные занятия и приём гостей. Смена комнаты показывает разные стороны жизни состоятельной семьи.,"Русские Заонежья, дом Ошевнева. «Кижи»: зала — музейная реконструкция образа состоятельной семьи с торговыми и родственными связями с Петербургом; открыта в 2016 г.",https://site.kizhi.karelia.ru/info/about/pressrelease/2016/10254.html,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
18.01,Крещенский сочельник: вещи для особой воды,"Крест, ковш и ведро встретились на одной выставке. Что связывает их с зимним праздником?","Проследить путь воды от водосвятия к дому и рассмотреть назначение предметов на каждом участке. Изменяется предметная схема, раскрывая подготовку к празднику.",РЭМ: выставка о крещенской воде включает крест и утварь для воды. Этнокалендарь подтверждает подготовку и водосвятие в сочельник; атрибуции конкретных сосудов уточнить.,https://ethnomuseum.ru/events1/exhibitions/past/vystavka-krewenskij-sneg-krewenskaya-voda/ ; https://ethnomuseum.ru/collections/ethnocalendar/january/kresch/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
19.01,Иордань: когда вся деревня шла к воде,Почему зимняя прорубь получила имя далёкой реки?,"Раскрыть на историческом изображении место водосвятия, участников и предметы. Схема связывает название «иордань», евангельский сюжет и местный праздничный обычай.","РЭМ: прорубь-иордань и общественное водосвятие; Крещение завершает Святки. Источник обзорный, конкретную местную фотографию и её дату ещё подобрать.",https://ethnomuseum.ru/collections/ethnocalendar/january/kresch/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
25.01,Татьянин день: город становится студенческим,Университетский праздник вышел на московские улицы. Что делало чужих людей «старыми студентами»?,"Двигаться по документированному маршруту праздничного дня: университет, встреча выпускников, гулянье. Из свидетельств собрать историю студенческого сообщества.","Москва, XIX–XX вв.; летопись МГУ и календарь РЭМ. 25 января — современная дата праздника; 12 января 1755 г. старого стиля при историческом пересчёте — 23 января.",https://letopis.msu.ru/content/tatyanin-den ; https://ethnomuseum.ru/collections/ethnocalendar/january/tatyanin-den/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
29.01,"Семейские: память, которую поют вместе",Дом можно перевезти только по брёвнышку. А как переселенцы увезли с собой общий голос?,"Слушать подписанный фрагмент и следить по тексту за вступлениями участников. Карта связывает певцов и место записи; посетитель слышит, как сообщество сохраняет память.",Русские старообрядцы-семейские Забайкалья; фильм и описание культурного пространства на Культура.РФ. Традиция показана в современном бытовании; конкретную запись ещё выбрать.,https://www.culture.ru/live/movies/846/kulturnoe-prostranstvo-i-pesennoe-tvorchestvo-semeiskikh-zabaikalya ; https://www.culture.ru/institutes/10073/kulturnoe-prostranstvo-i-pesennoe-tvorchestvo-semeiskikh-zabaikalya,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
14.02,Трифон-мышегон: сохранить хлеб до весны,Урожай собран. Почему за него всё ещё тревожились зимой?,"На схеме хозяйства найти скирду и зерно, затем раскрыть записанный обычай и его участников. Разделить хозяйственную опасность и веру в обрядовую защиту.","Русская традиция; Е. Л. Мадлевская, РЭМ. Описание обряда в Московской и Калужской губерниях; 14 февраля по современной календарной приуроченности.",https://ethnomuseum.ru/collections/ethnocalendar/february/maslenica-maslenichnaya-nedelya-syrnaya-nedelya9/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
15.02,Сретение: две встречи в одном названии,Как церковная встреча стала в народном календаре встречей зимы с весной?,"Переключить два связанных слоя: сюжет праздника и наблюдения за сезоном. Каждое наблюдение получает подпись «народное представление», а не прогноз погоды.","РЭМ: Сретение, 15 февраля. Церковное событие и народное восприятие сезонного рубежа. Обзор многоэтничный: в день войдёт только подтверждённый русский материал.",https://ethnomuseum.ru/collections/ethnocalendar/february/maslenica-maslenichnaya-nedelya-syrnaya-nedelya10/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
18.02,Масленичный стол: праздник перед постом,Почему на столе столько мучного и молочного?,Сравнить две подписанные схемы трапезы: масленичную и постную. При выборе блюда открывается его место в переходе от праздничного изобилия к воздержанию.,"РЭМ описывает мучную, молочную и рыбную пищу на Масленицу. Региональное меню ещё выбрать; это обзор обычая, не рецепт одной семьи.",https://ethnomuseum.ru/collections/ethnocalendar/february/maslenica-maslenichnaya-nedelya-syrnaya-nedelya/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
19.02,С горы — «на долгий лён»: смысл зимней потехи,Как катание с горки связывали с будущим урожаем?,"Сопоставить описанное катание и хозяйственное пожелание. На схеме появляются участники и предметы, затем — музейное объяснение поверья.","Музей «Кижи»: масленичные обычаи Олонецкой губернии, местные записи и описания катаний. Урожайная связь — представление участников.",https://site.kizhi.karelia.ru/info/en/about/newspaper/42/1104.html,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
20.02,Тёща и золовка: карта масленичного гостевания,Кто кому приходится роднёй — и к кому идут молодые супруги?,Повернуть схему родства от лица мужа к лицу жены. Меняются названия родственников и направления визитов; посетитель разбирается в связях двух семей.,"РЭМ: посещение родителей, чествование молодожёнов и названия дней Масленицы. Обзорный материал; местный порядок визитов уточнить.",https://ethnomuseum.ru/collections/ethnocalendar/february/maslenica-maslenichnaya-nedelya-syrnaya-nedelya/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
21.02,Петрушка: маленький герой большой площади,Почему уличная кукла могла говорить со зрителями так бойко?,"Сравнить два коротких разрешённых фрагмента: традиционное уличное представление и сценическое переосмысление. Отметить обращение к публике, темп и характер героя.",Музей Театра Образцова: выставка «Фокусник и Петрушка. Путь от балагана к театру» о преобразовании народного персонажа в искусстве XX в.,https://puppet.ru/museum/events/vystavka-fokusnik-i-petrushka-put-ot-balagana-k-teatru-v-mamte,Представление и контакт с публикой; устройство куклы было бы другой историей.,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
24.02,Власьев день: корова в центре хозяйства,Почему благополучию скота посвящали особый день?,"Собрать связи корова → молочная пища → повседневная забота, затем открыть календарное почитание Власия. Отдельно увидеть сведения об обычаях и о хозяйстве.","РЭМ: Власьев день, 24 февраля; обряды благополучия скота и представления об отступлении морозов. Локальность конкретного обряда требуется уточнить.",https://ethnomuseum.ru/collections/ethnocalendar/february/maslenica-maslenichnaya-nedelya-syrnaya-nedelya13/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
26.02,Рыба с Белого моря: зимняя дорога меняет торговлю,Почему местным рыбакам зимой мешала дешёвая привозная рыба?,Включить на карте поток подвоза с Белого моря. Рядом открываются виды товара и объяснение изменения выгоды местного лова; сравнить два состояния торговли.,Обзор «Кижей» о русских Заонежья: подвоз беломорской рыбы снижал выгодность зимнего лова. Точные цены и маршрут в источнике не заданы.,https://site.kizhi.karelia.ru/library/traditsionnaya-kultura-russkih-zaonezhya-spravochno-metodicheskoe-posobie-dlya-eksku/746.html,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
08.03,Открытка к 8 Марта: праздник становится личным,Что превращает массовую открытку в обращение к одному человеку?,Рассмотреть печатную открытку и набрать рядом собственное поздравление. Сравнить готовую праздничную формулу и личные слова; сохранить свою карточку.,"Открытка «8 марта!», Москва, ИПФ «Стезя», 2012 г.; каталог РГБ. РЭМ подтверждает календарную дату и общественный смысл праздника. Русскоязычная семейная культура XXI в.",https://search.rsl.ru/ru/record/01006565357 ; https://ethnomuseum.ru/collections/ethnocalendar/march/mezhdunarodnyj-zhenskij-den/,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
14.03,Авдотья Плющиха: весна говорит названиями,"Почему один день зовут и Свистуньей, и Весновкой, и Плющихой?","Соединить народные названия с явлениями: ветер, оттепель, подтаявший наст. Открыть музейное пояснение и различить наблюдение за погодой и примету о будущем.","14 марта, 1 марта по старому стилю. Белгородский государственный музей народной культуры публикует названия и объяснения дня. Это обзор традиции, не описание одного экспоната.",https://xn--90aevhf.xn--p1ai/%D0%BA%D0%B0%D0%BB%D0%B5%D0%BD%D0%B4%D0%B0%D1%80%D1%8C/%D0%BC%D0%B0%D1%80%D1%82/14-%D0%BC%D0%B0%D1%80%D1%82%D0%B0,,Запись/альбом/описание; проверить локальность и пригодность,Редакторское предложение; новая дата выпуска не назначена
