№,Музей / тема,1. Концепция,1. Сравнение с конкурентами,1. Концепция принята,2. Календарь: собран,3. Календарь: проверен,3. Календарь: принят,4. Идеи: задел,4. Механики по дням,4. Подбор принят,5. Материалы,5. Скилл / профиль,6. Механики: код,6. Главная,6. Образцы страниц,6. Образцы приняты,7. Карточки 365,8. Итоговая приёмка,9. Выпуск
1,Музей «Что изобрели русские первыми в мире»,Есть,?,?,8/12 мес.,?,8/12 мес.,Есть,?,?,?,Есть,Часть,Есть,Есть,?,16 учт.,?,?
2,Музей русского искусства,Есть,?,?,3/12 мес.,?,3/12 мес.,Есть,?,?,?,Есть,Часть,Есть,Есть,?,3 учт.,1 стр.,?
3,Музей русских первопроходцев и путешественников,Есть,Есть,?,10/12 мес.,?,9/12 мес.,?,?,?,?,Есть,?,Нет,2 из 3,?,2 учт.,Нет,?
4,Музей русской архитектуры и зодчества,Есть,Есть,?,12/12 мес.,?,12/12 мес.,Есть,?,?,?,Есть,Часть,Есть,Есть,?,7 учт.,1 стр.,?
5,Музей русского космоса,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
6,Музей военных побед России,Есть,Есть,Да,9/12 мес.,?,9/12 мес.,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
7,Музей стойкости и подвига «Русские не сдаются»,Черновик,?,?,12/12 мес.,?,12/12 мес.,Есть,?,?,?,Есть,Часть,Есть,Есть,?,6 учт.,Нет,?
8,Музей русской этнографии,v2 · согласована,Сравнение v2 · приёмка,Да · 08.09,?,?,Нет,8 идей · ждут,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
9,Музей русской литературы и языка,Есть,Есть,?,12/12 мес.,?,12/12 мес.,Идеи,?,?,?,Есть,?,Заглушка,1 из 3,?,1: переделка,Переделка,?
10,Музей русского театра,Нет,?,?,?,?,?,?,?,?,?,Нет,?,?,?,?,?,?,?
11,Музей русского цирка,Нет,?,?,?,?,?,?,?,?,?,Нет,?,?,?,?,?,?,?
12,Музей русской музыки,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
13,Музей русской анимации и кино,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
14,Музей русской фотографии,Нет,?,?,?,?,?,?,?,?,?,Нет,?,?,?,?,?,?,?
15,Музей русского дизайна,Нет,?,?,?,?,?,?,?,?,?,Нет,?,?,?,?,?,?,?
16,Музей русской письменности и изображений в книгах,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Нет,Нет,?,Нет,Нет,?
17,Музей русской карикатуры,Есть,?,?,12/12 мес.,?,12; версии?,?,?,?,?,Есть,?,Есть,Есть,?,5 учт.,Нет,?
18,Музей русского православия,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
19,Музей русского юмора и сатиры,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
20,Музей народных художественных промыслов России,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
21,Музей русских народных сказок,Черновик,Есть,Нет,?,?,Нет,4 согл.,?,?,?,Нет,Нет,Заглушка,Нет,?,Нет,Нет,?
22,Детский музей,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
23,Музей русской кухни и кулинарии,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
24,Музей народного быта,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
25,Музей русской моды и парфюма,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Нет,Нет,?,Нет,Нет,?
26,Музей русского спорта,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
27,Музей русского флота и корабля,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
28,Музей Русского Севера и Арктики,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
29,Музей русских железных дорог,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
30,Музей русских денег,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
31,"Музей российских гербов, флагов и гимнов",Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Нет,Нет,?,Нет,Нет,?
32,Музей советского периода,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
33,VR-музей русских ремесленников,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
34,Музей «Русский парк» — как всё начиналось,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,?
35,Музей русского костюма,Есть,Есть,Да,?,?,?,4 согл.,?,?,?,?,Нет,?,?,?,?,?,?
36,Музей русской частушки,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
37,Музей русских пословиц и поговорок,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
38,Музей школы и просвещения,—,—,—,?,?,—,—,?,?,—,—,—,—,—,?,—,—,—
39,Музей предпринимательства и меценатства,—,—,—,?,?,—,—,?,?,—,—,—,—,—,?,—,—,—
40,Музей медицины и заботы,—,—,—,?,?,—,—,?,?,—,—,—,—,—,?,—,—,—
41,Музей связи,—,—,—,?,?,—,—,?,?,—,—,—,—,—,?,—,—,—
42,Музей земледелия и сельского труда,—,—,—,?,?,—,—,?,?,—,—,—,—,—,?,—,—,—
43,Музей городского хозяйства,—,—,—,?,?,—,—,?,?,—,—,—,—,—,?,—,—,—
44,Узоры регионов России,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
45,Виды тканей,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
46,Цветные наряды из книг и примерочная,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
47,"Учёные, полководцы и другие люди, прославившие Россию",?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
48,Русский лубок,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
49,Русские народные инструменты,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
50,Разновидности гармони,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
51,Наличники деревень и регионов,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
52,Русское письмо и шрифты разных веков,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
53,Виды русской росписи,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
54,Уличные народные театры,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
