Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
01.08;"Серп: жатва начинается с одной горсти стеблей. [У] Редакционное размещение; не историческая дата возникновения.";Серп работает с горстью стеблей, удержанной рукой. Жатва складывается из множества повторённых движений — урожай собирают в человеческом масштабе.;"Проследить на музейной записи движение жницы; на условной схеме выделить рабочую часть серпа.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
02.08;Ильин день: лето в народном рассказе. [К] Ежегодная дата по современному гражданскому календарю.;Ильин день входит в народный рассказ о перемене лета. Календарная память соединяет праздник с сезонными наблюдениями, не превращая их в прогноз.;"Сопоставить разные мотивы музейного описания; отделить хозяйственные наблюдения от поверий.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — ИЛЬИН ДЕНЬ: https://ethnomuseum.ru/collections/ethnocalendar/august/ilin-den/"
03.08;"Сноп: урожай получает переносную форму. [У] Редакционное размещение; не историческая дата возникновения.";Сноп придаёт срезанным стеблям переносную форму. Урожай становится отдельной связкой, которую можно поднять, поставить и перевезти.;"Собрать условный сноп и выбрать место перевязи по документированной схеме; увидеть устойчивую форму.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
04.08;"Перевясло: крепление из самого урожая. [У] Редакционное размещение; не историческая дата возникновения.";Перевясло делают из самого растительного материала. Часть урожая удерживает другую часть — простое крепление рождается прямо во время работы.;"Рассмотреть местный способ перевязки снопа; повторить его на условных полосах и открыть термин.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
05.08;"Жнивная рубаха: одежда для тяжёлой поры. [У] Редакционное размещение; не историческая дата возникновения.";Жнивная рубаха принадлежит тяжёлой поре полевых работ. Крой и материал помогают увидеть связь одежды с движением и сезонной нагрузкой.;"Сопоставить выбранную жатвенную рубаху с комплектом той же традиции; найти особенности по музейной подписи.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
06.08;"Дети в поле: семейный труд имеет много ролей. [У] Редакционное размещение; не историческая дата возникновения.";В семейной работе на поле было несколько ролей. Детское участие требует увидеть конкретное занятие, а не переносить взрослый труд на всех одинаково.;"На документированном описании полевого дня восстановить роли членов семьи; не добавлять вымышленных биографий.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
07.08;"Последние колосья: что оставляют на поле. [У] Редакционное размещение; не историческая дата возникновения.";Последние колосья могли оставлять для обрядового действия. Завершение жатвы получало местный смысл, который не сводится к уборке остатка урожая.;"По сцене РЭМ восстановить действия обряда «бородки»; открыть его как историческое поверье конкретного описания.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
08.08;"Цеп: зерно отделяется ударами. [У] Редакционное размещение; не историческая дата возникновения.";Цеп отделяет зерно ударами по снопам. Подвижное соединение деревянных частей превращает замах человека в работу другого конца орудия.;"Привести в движение условную схему цепа; увидеть назначение соединения и сопоставить с музейной демонстрацией.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
09.08;"Ток: рабочая площадка для урожая. [У] Редакционное размещение; не историческая дата возникновения.";Ток — отдельная площадка для работы с урожаем. Расположение снопов и действий показывает, что обмолоту нужен организованный простор.;"Разместить операции обмолота на схеме выбранного хозяйства; проследить путь зерна и соломы.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
10.08;"Овин: снопы готовят к обмолоту. [У] Редакционное размещение; не историческая дата возникновения.";В овине снопы готовят к обмолоту. Урожай проходит дополнительный этап обработки, прежде чем зерно отделят от стеблей.;"Рассмотреть документированную схему овина; связать зоны сушки и размещения снопов без инструкций по топке.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
11.08;"Веялка: воздух помогает разделить урожай. [У] Редакционное размещение; не историческая дата возникновения.";Воздух помогает отделить зерно от лёгких примесей. Веялка использует различие материала — невидимый поток становится рабочей силой.;"Запустить условный поток над смесью зерна и мякины; сравнить траектории и открыть историческое приспособление.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
12.08;"Сусек: запасу нужно своё место. [У] Редакционное размещение; не историческая дата возникновения.";В сусеке зерну отводят отдельное место. Домашний запас требует границ и порядка, чтобы результат одного сезона служил семье дальше.;"На схеме выбранного амбара найти отдельные закрома; распределить культуры и объяснить роль разделения.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
13.08;"Медовый сот: природный порядок в хозяйстве. [У] Редакционное размещение; не историческая дата возникновения.";Медовый сот приносит природную структуру в хозяйство человека. Пасечный труд начинается с внимания к тому, что создают сами пчёлы.;"Под лупой рассмотреть подписанный сот и пасечную принадлежность; связать их с музейным рассказом о пчеловодстве.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
14.08;Медовый Спас: продукт становится праздничным даром. [К] Ежегодная дата по современному гражданскому календарю.;На Медовый Спас продукт пасеки становится праздничным даром. Работа с пчёлами входит в годовой круг встреч, угощения и благодарности.;"Сопоставить пасечную работу и описание праздника; выделить подтверждённые обрядовые действия.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — Медового (1/14 августа),: https://ethnomuseum.ru/collections/ethnocalendar/august/pervyj-spas-medovyj/"
15.08;"Воск: второй дар пасеки. [У] Редакционное размещение; не историческая дата возникновения.";Пасека даёт не только мёд, но и воск. Один хозяйственный мир снабжает человека разными материалами, каждому из которых находится своё применение.;"Соединить образец воска с документированными бытовыми применениями; показать путь к одной выбранной вещи.";"Тема-кандидат в рамках экспозиции РЭМ о русских. Конкретный предмет, местность, дата и подтверждение частного сюжета ещё подбираются; обзор не заменяет предметную атрибуцию. Источник: РЭМ — Русские. Конец XIX – начало XX в.: https://ethnomuseum.ru/exposition/permanent/russians/"
