Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
01.04;"Валёк: почему бельё приходилось колотить. [У] тематическое размещение; дата не является годовщиной";Этой деревянной лопаткой не готовили еду. Что она делала у воды?;На схеме показать движение валька по мокрому белью и посмотреть, как из ткани выходит вода. Сравнить с январским рубелем: похожие вещи решали разные задачи.;"Валёк XIX века, дерево с резьбой; Гороховецкий историко-архитектурный музей, Владимирская область. Назначение — стирка и полоскание; мастер не указан. Источник: Гороховецкий музей — валёк: https://ar.culture.ru/ru/subject/valyok-12"
02.04;"Степан Хомутин: стиральная доска с именем мастера. [У] тематическое размещение; дата не является годовщиной";Почему у обыкновенной стиральной доски есть автор?;"Провести условную ткань по гладкой и ребристой поверхностям; увидеть разницу контакта. Открыть цепочку «мастер — человек, сохранивший вещь — музей».";"Степан Титович Хомутин, 1961 г.; Коченёвский краеведческий музей, Новосибирская область. Передана Людмилой Николаевной Носковой из рабочего посёлка Коченёво. Источник: Коченёвский музей — доска Степана Хомутина: https://ar.culture.ru/ru/subject/doska-stiralnaya-3"
03.04;"Архангельское корыто: сосуд внутри бревна. [У] тематическое размещение; дата не является годовщиной";Как получить большую ёмкость, если нет ни досок, ни обручей?;Убирать слои с условной половины бревна, сохраняя стенки и дно. Сопоставить долблёную конструкцию с мартовским бочонком, собранным из частей.;"Архангельская область, XIX — начало XX в.; 20 × 29 × 82 см, собрание объединения «Выставочные залы Москвы». Музей описывает разные назначения корыт; назначение именно этого экземпляра не уточнено. Источник: Выставочные залы Москвы — архангельское корыто: https://ar.culture.ru/ru/subject/koryto-19"
04.04;"Керосиновая лампа: вечер зависит от фитиля. [У] тематическое размещение; дата не является годовщиной";Как одним маленьким колёсиком сделать комнату светлее?;Повернуть регулятор на условной схеме: фитиль поднимается и меняется пламя. Затем найти резервуар и стекло на музейной вещи, понять ежедневный уход за светом.;"1930-е гг., СССР; Мурманский областной краеведческий музей, экспозиция «Поморы». В описании несколько ламп; сведения о московском заводе и Кандалакше относятся к отдельно описанному экземпляру. Источник: Мурманский областной музей — керосиновая лампа: https://ar.culture.ru/ru/subject/kerosinovaya-lampa-7"
05.04;"Вербная ветка: как пальма стала близкой. [У] условное размещение пасхального сюжета; праздник подвижный, это не его дата";Почему праздник о далёком Иерусалиме встречают с вербой?;Соединить евангельский сюжет, пальмовую ветвь и местную вербу. При каждом соединении открывается объяснение: один смысл получает знакомый растительный образ.;"Обзор РЭМ о православном Вербном воскресенье, последнее воскресенье перед Пасхой. Описана замена пальмовых ветвей вербой и русские домашние обычаи; конкретная местная запись не приведена. Источник: РЭМ — Вербное воскресенье: https://ethnomuseum.ru/collections/ethnocalendar/april/verbnoe-voskresene/"
06.04;"Корочанская пасочница: рисунок спрятан внутри. [У] условное размещение пасхального сюжета; праздник подвижный, это не его дата";Зачем украшать ту сторону деревянной формы, которую никто не видит?;Собрать четыре стенки и посмотреть условный отпечаток. Разобрать форму: внутренний резной рисунок становится наружным украшением творожной пасхи.;"Начало XX в., Корочанский уезд Курской губернии; Корочанский историко-краеведческий музей. Липовая форма из четырёх дощечек, 14 × 23 × 23,2 см. Источник: Корочанский музей — пасочница: https://ar.culture.ru/ru/subject/pasochnica-derevyannaya-syrnica"
07.04;Благовещение: день, когда работу откладывали. [К] Благовещение — ежегодная дата 7 апреля;Что важнее привычной работы, если даже прялку оставляют в покое?;На условной сцене домашнего дня отметить работу и праздничную паузу. Открыть объяснения запретов как верований и способа выделить особое время.;"7 апреля по современному календарю. РЭМ описывает Благовещение и народные запреты на работу; это обобщение русской традиции, без единой обязательной практики для всех мест. Источник: РЭМ — Благовещение: https://ethnomuseum.ru/collections/ethnocalendar/april/blagovewenie/"
08.04;"Пасхальное яйцо: подарок с обращением внутри. [У] условное размещение пасхального сюжета; праздник подвижный, это не его дата";Может ли маленький подарок рассказать, кто и кому его поднёс?;Открыть створки цифрового изображения, приблизить надпись, затем соединить дарителей и адресата. Прочитать подарок как человеческое обращение.;"Москва, конец XIX в.; деревянное расписное яйцо из Музея имени Андрея Рублёва; подношение Елизавете Фёдоровне от московских старообрядцев, приемлющих священство. Размер 15,6 × 10 см; дерево, левкас, темпера, токарная работа. Источник: Музей Андрея Рублёва — пасхальное яйцо: https://ar.culture.ru/ru/subject/pashalnoe-yayco-1"
09.04;"Каталочки: яйцо становится игровым снарядом. [У] условное размещение пасхального сюжета; праздник подвижный, это не его дата";Как выиграть пасхальное яйцо, не разбивая его?;Выбрать направление на условном деревянном желобе и скатить яйцо к другим. После хода увидеть, какой предмет задет и как меняется очередь по выбранному варианту правил.;"Культура.РФ описывает пасхальное катание яиц с дощечки или горки, в том числе применение деревянных яиц. Источник обзорный; единые правила всех русских селений не заявляются. Источник: Культура.РФ — пасхальные игры и обычаи: https://www.culture.ru/themes/630/kak-na-rusi-otmechali-paskhu"
10.04;"Пасхальная открытка: праздник приходит по почте. [У] условное размещение пасхального сюжета; праздник подвижный, это не его дата";Как поздравить человека, до которого нельзя дойти пешком?;Рассмотреть несколько открыток РНБ и выбрать изобразительное обращение к близкому. Составить собственное короткое поздравление, сохранив подпись исторического образца.;"РНБ, виртуальная выставка русской пасхальной открытки начала XX в. Представлены разные издатели и художники; конкретный лист с лицевой и оборотной стороной отбирается перед страницей. Источник: РНБ — русская пасхальная открытка начала XX века: https://expositions.nlr.ru/ex_print/paskha/"
