Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
01.11;"Федоскинская шкатулка: бумага становится прочной вещью. [У] Редакционное размещение; не историческая дата возникновения.";Бумага становится прочной федоскинской шкатулкой. Под живописью скрыта работа с основой — привычный материал получает неожиданную долговечную форму.;"Собрать условные стадии папье-маше по описанию промысла; сравнить основу и готовую вещь.";"Тематический материал о росписи; музейный экземпляр и мастер подбираются отдельно. Источник: Культура.РФ — Загадки узоров русских росписей: https://www.culture.ru/materials/139105/zagadki-uzorov-russkikh-rospisei"
02.11;"Федоскинский свет: блеск под живописью. [У] Редакционное размещение; не историческая дата возникновения.";Блеск под федоскинской живописью меняет вид изображения. Свет проходит через художественные слои и становится частью мастерского замысла.;"Переключать условные слои выбранной техники; сопоставить отражение света с музейным образцом.";"Тематический материал о росписи; музейный экземпляр и мастер подбираются отдельно. Источник: Культура.РФ — Загадки узоров русских росписей: https://www.culture.ru/materials/139105/zagadki-uzorov-russkikh-rospisei"
03.11;"Палехская миниатюра: большая история на маленькой крышке. [У] Редакционное размещение; не историческая дата возникновения.";На маленькой палехской крышке помещается большой сюжет. Масштаб миниатюры требует точности, чтобы фигуры и события оставались различимыми.;"На выбранной миниатюре найти фигуры и путь взгляда; собрать карту рассказа, не копируя живопись целиком.";"Тематический материал о росписи; музейный экземпляр и мастер подбираются отдельно. Источник: Культура.РФ — Загадки узоров русских росписей: https://www.culture.ru/materials/139105/zagadki-uzorov-russkikh-rospisei"
04.11;"Холуйская миниатюра: местная школа общего ремесла. [У] Редакционное размещение; не историческая дата возникновения.";Холуйская миниатюра сохраняет почерк местной школы. Общий вид ремесла не стирает различий в том, как мастера строят изображение.;"Сопоставить подписанные работы Холуя и Палеха; отметить наблюдаемые различия, не выводя правила по одному предмету.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
05.11;"Мстёрская миниатюра: пейзаж вокруг действия. [У] Редакционное размещение; не историческая дата возникновения.";Мстёрский пейзаж окружает действие миниатюры. Маленькая поверхность вмещает пространство, в котором фигуры получают своё место и направление движения.;"Разделить выбранное изображение на планы; вернуть фигуры в среду и сравнить восприятие.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
06.11;"Ростовская финифть: цвет выдерживает огонь. [У] Редакционное размещение; не историческая дата возникновения.";Цвет ростовской финифти проходит через обжиг. Изображение возникает не одним движением кисти — огонь участвует в работе мастера.;"Разложить по порядку этапы эмалевой работы из описания промысла; открыть готовый предмет под лупой.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
07.11;"Скань: узор из металлической нити. [У] Редакционное размещение; не историческая дата возникновения.";Металлическая нить складывается в ажурную скань. Твёрдый материал выглядит лёгким благодаря изгибам, соединениям и оставленным просветам.;"Проследить линию проволоки на выбранном изделии; собрать условный элемент из простых изгибов.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
08.11;Дмитриев день: память собирает родных. [К] Ежегодная дата по современному гражданскому календарю.;Память о родных собирает людей вместе. Обычай Дмитриева дня возвращает внимание к семейной связи, которая продолжается за пределами одной жизни.;"По музейному описанию найти формы поминовения; отдельно показать Дмитриев день и подвижную поминальную субботу.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — ДМИТРИЕВ ДЕНЬ: https://ethnomuseum.ru/collections/ethnocalendar/november/dmitriev-den/"
09.11;"Великоустюжская чернь: чёрный рисунок на серебре. [У] Редакционное размещение; не историческая дата возникновения.";Великоустюжская чернь создаёт тёмный рисунок на серебре. Различие поверхностей помогает прочитать тонкую работу на небольшой металлической вещи.;"Сравнить выбранный предмет до условного выделения рисунка и после; открыть название техники.";"Кандидат по названному промыслу. Обзор Культура.РФ — исходный ориентир; конкретная вещь, автор, дата и частные технологические сведения требуют предметной проверки. Источник: Культура.РФ — Народные промыслы России: https://www.culture.ru/s/narodnye-promysly-rossii/"
10.11;Параскева Пятница: покровительство женским занятиям. [К] Ежегодная дата по современному гражданскому календарю.;Образ Параскевы Пятницы связан с женскими занятиями в народной традиции. Почитание получает местное выражение в отношении к труду и его ритму.;"Соединить музейное описание с конкретным занятием; запреты и поверья показывать как исторические представления.";"Этнокалендарь РЭМ; локальные варианты обычая требуют отдельного выбора. Источник: РЭМ — ДЕНЬ ПАРАСКЕВЫ ПЯТНИЦЫ: https://ethnomuseum.ru/collections/ethnocalendar/november/sukkot1/"
