Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
01.03;"Лоскутное одеяло: красота из того, что осталось. [У] тематическое размещение; дата не является годовщиной";Можно ли из обрезков сшить вещь, которую будут беречь десятилетиями?;"Сложить один блок из лоскутов по рисунку музейного одеяла; поворот детали меняет общий узор. Открыть целую вещь и увидеть, как бережливость становится мастерством.";"Станица Гиагинская, 1960-е гг.; Гиагинский районный краеведческий музей, экспозиция «Казачья комната». Русская бытовая традиция Кубани; происхождение каждого лоскута неизвестно. Источник: Гиагинский музей — лоскутное одеяло: https://ar.culture.ru/ru/subject/odeyalo-loskutnoe-2"
02.03;"Трепало: деревянный клинок для будущей рубахи. [У] тематическое размещение; дата не является годовщиной";Зачем бить стебли деревянной лопаткой, если из них хотят получить мягкую ткань?;Провести трепалом по схеме подготовленного льна: кострика отделяется, волокна остаются. Сравнить материал до и после, понять назначение операции.;"Трепало конца XIX в., Исетский музей им. А. Л. Емельянова. Музей связывает предмет мечевидной формы с семьёй старообрядцев Исетского района; версия о подарке невесте — предположение. Источник: Исетский музей — трепало: https://ar.culture.ru/ru/subject/trepalo-4"
03.03;"Чесало: семь рядов зубьев ради тонкой нити. [У] тематическое размещение; дата не является годовщиной";Как из одного пучка получались и грубая верёвка, и тонкое полотно?;"Пропустить виртуальный пучок через зубья; отдельно показать длинное волокно и очёс. Сопоставить с будущими изделиями, не задавая выдуманных процентов выхода.";"Конец XIX в., Новокузнецкий краеведческий музей. Доска с семью рядами кованых зубьев. Изготовление в европейской части России — музейная гипотеза; точное место неизвестно. Источник: Новокузнецкий музей — чесало для льна: https://ar.culture.ru/ru/subject/chesalo-dlya-lna"
04.03;"Мотовило из Бурдиной: сосчитать нить без рулетки. [У] тематическое размещение; дата не является годовщиной";Как хозяйка понимала, хватит ли пряжи на целый холст?;"Намотать несколько оборотов на схему мотовила; счётчик считает обороты. Затем открыть объяснение местного счёта нитей и будущей длины ткани.";"Деревня Бурдина, нынешний Абатский район Тюменской области; конец XIX — начало XX вв.; КДО «Исток». Музей описывает перемотку и первоначальный учёт пряжи. Источник: КДО «Исток» — мотовило из Бурдиной: https://ar.culture.ru/ru/subject/motovilo-2"
05.03;"Кросна на Устье: почему станку нужны педали. [У] тематическое размещение; дата не является годовщиной";Нога нажала — между сотнями нитей появилась дорога. Как?;Нажать две подножки по очереди: чётные и нечётные нити меняются местами, открывая зев. Посетитель видит, как ткачиха управляет основой.;"Начало XX в.; Устьянский краеведческий музей. Карточка подробно описывает местные названия частей, подножки и ниченицы. Источник: Устьянский музей — кросна: https://ar.culture.ru/ru/subject/tkackiy-stanok-1"
06.03;"Ангарский челнок: лодочка, которая возит нить. [У] тематическое размещение; дата не является годовщиной";Почему ткацкий инструмент похож на маленькую лодку?;Открыть полость челнока и путь нити, провести его сквозь подготовленный зев. Увидеть, как катушка отдаёт уток, пока челнок пересекает основу.;"XIX в., п. Мотыгино, Удерейский район — так указано в карточке Мотыгинского музея; экспозиция «Ангарская изба». Точное историческое административное название требует уточнения. Источник: Мотыгинский музей — ткацкий челнок: https://ar.culture.ru/ru/subject/tkackiy-chelnok-1"
07.03;"Марк Шабалин: швейная машина из дерева. [У] тематическое размещение; дата не является годовщиной";Увидел фабричную машину — и вырезал свою. Разве так можно?;"Приблизить деревянные детали и сопоставить их с функциями механизма. Выбрать путь движения от колеса к игле; после выбора открывается объяснение мастерства Шабалина.";"Марк Шабалин, 1888 г.; Государственный исторический музей Южного Урала. Музей связывает изготовление с восемнадцатилетним крестьянином Вятской губернии; материалы в шапке — дерево и металл. Источник: Исторический музей Южного Урала — машина Марка Шабалина: https://ar.culture.ru/ru/subject/shveynaya-mashina-2"
08.03;"Открытка к 8 Марта: праздник становится личным. [К] 8 Марта; ежегодный праздник, не дата изготовления открытки";Что превращает массовую открытку в обращение к одному человеку?;"Рассмотреть печатную открытку и набрать рядом собственное поздравление. Сравнить готовую праздничную формулу и личные слова; сохранить свою карточку.";"Открытка «8 марта!», Москва, ИПФ «Стезя», 2012 г.; каталог РГБ. РЭМ подтверждает календарную дату и общественный смысл праздника. Русскоязычная семейная культура XXI в. Источник: РГБ — открытка «8 марта!», Москва, 2012: https://search.rsl.ru/ru/record/01006565357; РЭМ — Международный женский день: https://ethnomuseum.ru/collections/ethnocalendar/march/mezhdunarodnyj-zhenskij-den/"
09.03;"Угольный утюг: маленькая топка на столе. [У] тематическое размещение; дата не является годовщиной";Зачем утюгу отверстия, если гладить должна его подошва?;Открыть условный разрез и проследить движение воздуха к углям. Сопоставить нагрев изнутри с январским рубелем и увидеть изменение домашнего труда.;"Первая половина XX в., Западная Сибирь, СССР; Музей истории города Урай. Угольный утюг, литьё. Источник: Музей истории Урая — угольный утюг: https://ar.culture.ru/ru/subject/utyug-8"
10.03;"Тверское полотенце: вещь встречает важные дни семьи. [У] тематическое размещение; дата не является годовщиной";Почему нарядное полотенце берегли для событий, а не только для умывания?;Рассмотреть концы полотенца и расположить его на подписанных схемах двух обрядовых ситуаций. Пояснение раскрывает роль вещи в семейной жизни.;"Тверская губерния, конец XIX — начало XX в.; Музей тверского быта. Домотканое полотно, ситец, кружево, вышивка. Музей описывает бытовые и обрядовые функции полотенец. Источник: Музей тверского быта — обрядовое полотенце: https://ar.culture.ru/ru/subject/polotence-obryadovoe"
