date,title,hook,mechanic,evidence,source_urls,source_ids,theme,date_type,date_reason,preparation,editorial_dependency,broad_122,production_ready
01.01,Ёлочная игрушка: история страны на одной ветке,Как на домашней ёлке встретились дореволюционный ангел и советская ракета?,"Передвигать шкалу времени: меняются украшения на ёлке и семейная обстановка. Сопоставить две эпохи и увидеть, как общий праздник менялся вместе со страной.","Россия, городской и семейный быт XIX–XX вв. История смены рождественской и новогодней игрушки подтверждена обзором; отдельные музейные игрушки ещё выбрать.",https://www.culture.ru/materials/252999/istoriya-elochnoi-igrushki,tree,Праздник и город,К,Новый год,Нужны две атрибутированные игрушки разных эпох и семейные фотографии; не выдавать модель ёлки за документальный снимок.,Запись/альбом/описание; проверить локальность и пригодность,False,False
02.01,Дом Ошевневых: хозяйство под одной крышей,"До скотного двора можно дойти, не выходя под снег. Как жила семья в таком доме?","Проложить по плану путь из зимней избы в хозяйственную часть. Открывающиеся помещения показывают, как дом помогал вести хозяйство в холодное время.","Русские Заонежья; д. Ошевнево, 1876 г. Музей «Кижи»: дом-комплекс с жилой и хозяйственной частями; интерьер представляет быт конца XIX — начала XX в.",https://site.kizhi.karelia.ru/architecture/russkie-zaonezhya/dom-oshevneva-iz-d-oshevnevo,house,Дом и хозяйство,У,зимняя жизнь дома,Есть музейное описание. Для сцены нужны разрешённые план и изображения интерьера; рассказ — о быте семьи.,Запись/альбом/описание; проверить локальность и пригодность,False,False
03.01,"Железный цветок, который освещал вечер",У этого цветка горели три бутона. Зачем под него ставили корыто с водой?,Разместить лучины в зажимах цифровой модели светца и подставить корыто. Схема показывает свет и путь падающих угольков; посетитель раскрывает назначение деталей.,"Светец XVIII в., Государственный Русский музей. Три держателя лучин и установка в корыто описаны в карточке; место изготовления не названо.",https://ar.culture.ru/ru/subject/svetec-18,light,Дом и свет,У,длинный зимний вечер,Есть фотографии и атрибуция. Освещение — учебная визуализация без выдуманных замеров яркости.,Есть адрес предметной карточки; сверить содержание и медиа,False,False
04.01,Ухват: достать ужин из глубины печи,"Горшок раскалён, а ручек нет. Как поставить ужин на стол?",Подобрать ухват к форме чугунка и провести его по схеме печи. Неподходящий размер не удерживает посуду; правильный позволяет понять работу инструмента.,"Ухват, Вологодская губерния, вторая половина XIX в.; РЭМ. Карточка подтверждает назначение и применение разных размеров ухватов.",https://ar.culture.ru/ru/subject/uhvat-27,fork,Еда и домашний труд,У,зимняя кухня,"Нужен сопоставимый чугунок и схема операции; материал об инструменте, без кулинарной или пожарной инструкции.",Есть адрес предметной карточки; сверить содержание и медиа,False,False
05.01,"Валенок: обувь, которую не шьют","Ни подошвы, ни шва — а получился сапог. Что сделали с обычной шерстью?",Последовательно менять состояние шерсти в учебной модели валяния: рыхлое волокно превращается в плотную форму. Рядом открывается запись работы мастера.,Арзамасский уезд: валяльный промысел XIX в. и его музейная передача сегодня. Музейное описание подтверждает мокрое валяние; конкретная историческая пара пока не выбрана.,https://www.culture.ru/events/6386470/interaktivnoe-zanyatie-izgotovlenie-suvenirnogo-valenka,felt,Одежда и мастерство,У,зимняя одежда,Нужны исторический валенок и проверенная запись процесса. Дата мероприятия не является датой возникновения ремесла.,Запись/альбом/описание; проверить локальность и пригодность,False,False
06.01,Рождественский сочельник: последний постный вечер,До Рождества — одна ночь. Почему праздничный стол ещё остаётся постным?,Переключить два состояния одного стола — канун и праздник. Вещи и блюда раскрываются с пояснениями о посте и ожидании; местное меню собирается по одному свидетельству.,Русская праздничная традиция. РЭМ: Рождественский пост завершается 24 декабря старого стиля / 6 января современного календаря. Конкретное село и меню требуют выбора.,https://ethnomuseum.ru/collections/podkasty/shangina/,holidays,Праздник и еда,К,"канун Рождества, 6 января",Выбрать локальное описание трапезы; не составлять единый «древнерусский рецепт» из разных мест.,Запись/альбом/описание; проверить локальность и пригодность,False,False
07.01,"Рождественская звезда, которую носили по деревне",Звезда была не только на ёлке: с ней стучались в соседские двери. Зачем?,"Проследить на схеме путь христославов от дома к дому; у остановок раскрываются звезда, участники и поздравление. Узнать смысл совместного обхода.",Русские; обряд славления Христа со звездой описан И. И. Шангиной в цикле РЭМ. Локальная запись и исторический предмет ещё подбираются.,https://ethnomuseum.ru/collections/podkasty/shangina/,holidays,Праздник и соседство,К,"Рождество, 7 января",Нужны фотография звезды и местное свидетельство. Аудиофрагмент выбирать отдельно; видео по ссылкам не заявлено просмотренным.,Запись/альбом/описание; проверить локальность и пригодность,False,False
08.01,Бабьи каши: поблагодарить за рождение,"После Рождества чествовали женщину, которая помогла тебе появиться на свет. Чем её благодарили?","Развернуть схему связей ребёнка, родителей и повитухи. Подарки и совместная трапеза открывают её место в жизни семьи; два местных варианта показываются раздельно.","РЭМ подтверждает праздник повитух и рожениц, подарки и угощение кашей. Обзор говорит о разных губерниях, не называя одного села; локализацию уточнить.",https://ethnomuseum.ru/collections/ethnocalendar/january/sukkot7/,bab,Семья и взаимопомощь,К,"второй день Рождества, 8 января",Нужен один региональный пример с вещью или изображением. Медицинские действия в сценарий не входят.,Запись/альбом/описание; проверить локальность и пригодность,False,False
09.01,Колядование: песня у соседского порога,За пожелание доброго года открывали дверь и давали угощение. Что связывало хозяев и певцов?,Собрать маршрут обхода и сопоставить благопожелание с ответом хозяев. Голос и предметы раскрывают обмен поздравлениями и дарами между соседями.,"Русские; РЭМ описывает обходы с благопожелательными песнями в рождественский, новогодний и крещенский кануны. Название песни и её регион ещё выбрать.",https://ethnomuseum.ru/collections/podkasty/shangina/,holidays,Речь и соседство,У,святочный период; не отдельный праздник 9 января,Нужна одна локальная колядка с исполнителем и датой записи; не смешивать христославление 7 января с этой формой обхода.,Запись/альбом/описание; проверить локальность и пригодность,False,False
10.01,"Архангельская козуля: подарок, который можно съесть",Почему рождественское пожелание в Архангельске можно было подарить в виде пряника?,Сравнить объёмную фигурку и силуэтный пряник; собрать собственный силуэт по музейному образцу. В ответ открывается история перехода от одной формы выпечки к другой.,"Архангельск, северная традиция XIX–XX вв. Музей козули показывает воссозданные силуэтные образцы начала XX в.; зимняя приуроченность подтверждена музейной экскурсией.",https://www.culture.ru/institutes/88164/muzei-arkhangelskogo-pryanika-kozuli ; https://www.culture.ru/events/5182957/ekskursiya-arkhangelskaya-kozulya-tradicii-i-sovremennost,kozuli ; kozuliwinter,Еда и подарок,У,рождественская выпечка,Развести старинный оригинал и воссозданный образец; выбрать изображение конкретной формы. Значения каждого силуэта не выдумывать.,Запись/альбом/описание; проверить локальность и пригодность,False,False
