№,Музей / тема,Место / статус,Идея / экспозиции,Найденные работы,1. Концепция,1. Сравнение с конкурентами,1. Концепция принята,2. Календарь: собран,3. Календарь: проверен,3. Календарь: принят,4. Идеи: задел,4. Механики по дням,4. Подбор принят,5. Материалы,5. Скилл / профиль,6. Механики: код,6. Главная,6. Образцы страниц,6. Образцы приняты,7. Карточки 365,Аудиогид,Видео: горизонт.,Видео: вертик.,Пакет Reels,Пакет TikTok,Пакет YouTube,YouTube Shorts,VK Клипы,VK Видео,RUTUBE,Карусель,Статья в Дзене,Посты TG / VK / ОК,Сторис,Опрос / викторина,Дайджест / рассылка,Подкаст / аудиоанонс,СМИ / партнёры,Поиск / превью ссылки,Обложки / субтитры,План продвижения,Публикации,Результат продвижения,8. Итоговая приёмка,9. Выпуск
1,Музей «Что изобрели русские первыми в мире»,Музей,—,—,Есть,?,?,8/12 мес.,?,8/12 мес.,Есть,?,?,?,Есть,Часть,Есть,Есть,?,16 учт.,Нет,11,3,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
2,Музей русского искусства,Музей,—,Открыть,Есть,?,?,3/12 мес.,?,3/12 мес.,Есть,?,?,?,Есть,Часть,Есть,Есть,?,3 учт.,3 RU + EN,3,3,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1 стр.,?
3,Музей русских первопроходцев и путешественников,Музей,—,Открыть,Есть,Есть,?,10/12 мес.,?,9/12 мес.,?,?,?,?,Есть,?,Нет,2 из 3,?,2 учт.,1 RU,1,1,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
4,Музей русской архитектуры и зодчества,Музей,—,—,Есть,Есть,?,12/12 мес.,?,12/12 мес.,Есть,?,?,?,Есть,Часть,Есть,Есть,?,7 учт.,10,17,4,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1 стр.,?
5,Музей русского космоса,Музей,—,—,Нет,?,?,?,?,Нет,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
6,Музей военных побед России,Музей,—,Открыть,Есть,Есть,Да,9/12 мес.,?,9/12 мес.,?,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
7,Музей стойкости и подвига «Русские не сдаются»,Музей,—,Открыть,Черновик,?,?,12/12 мес.,?,12/12 мес.,Есть,?,?,?,Есть,Часть,Есть,Есть,?,6 учт.,6 RU,2,2,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
8,Музей русской этнографии,Музей,—,—,v2 · согласована,Сравнение v2 · приёмка,Да · 08.09,?,?,Нет,24 предл.,?,?,?,Нет,?,Заглушка,Нет,?,Нет,Нет,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Нет,?
9,Музей русской литературы и языка,Музей,—,Открыть,Есть,Есть,?,12/12 мес.,?,12/12 мес.,Идеи,?,?,?,Есть,?,Заглушка,1 из 3,?,1: переделка,1 RU,Нет,Нет,Нет,Нет,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Переделка,?
10,Музей русского театра,Музей,—,—,Нет,?,?,?,?,?,?,?,?,?,Нет,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
