Дата;Экспонат / название дня;Хук;Механика;Атрибуция и подтверждение
01.10;"Сватовство в двух шагах: договориться не сразу. [У] Редакционное размещение; не историческая дата возникновения.";Сватовство не обязательно заканчивается первым визитом. Свадебная договорённость складывается по местному порядку, соединяя несколько действий и встреч.;"По белгородскому описанию расставить два этапа; открыть участников и предмет разговора каждого.";"Русские сёла Чернянского и Новооскольского районов; конкретное село и запись выбираются перед страницей. Источник: Центр русского фольклора — Свадьба русских сёл Белгородчины: https://www.culture.ru/objects/2820/svadebnyi-obryad-russkikh-sel-chernyanskogo-i-novooskolskogo-raionov-belgorodskoi-oblasti"
02.10;"Смотр дома: брак связывает два хозяйства. [У] Редакционное размещение; не историческая дата возникновения.";Перед браком знакомятся с другим хозяйством. Смотр дома показывает, что новая семейная связь касается повседневного устройства жизни.;"По выбранному локальному описанию составить маршрут знакомства с хозяйством; показывать только подтверждённые действия.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
03.10;"Рукобитье: соглашение становится видимым. [У] Редакционное размещение; не историческая дата возникновения.";Рукобитье делает договорённость видимой. Жест становится частью местного свадебного порядка, по которому окружающие узнают о принятом решении.;"Найти жест и участников в конкретном описании; связать его с местом в свадебной последовательности.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
04.10;"Свадебные роли: дружка, сваха, подруги. [У] Редакционное размещение; не историческая дата возникновения.";Дружка, сваха и подруги выполняют разные свадебные роли. Общий праздник держится на людях, которым поручены конкретные действия.;"Распределить действия между персонажами по одному локальному источнику; открыть объяснение каждой роли.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
05.10;"Свадебное приглашение: известие идёт по селу. [У] Редакционное размещение; не историческая дата возникновения.";Приглашение разносит свадебную новость по селу. Будущая встреча начинается раньше застолья — с личного обращения и принятого способа звать гостей.;"Восстановить подтверждённый путь приглашения; увидеть круг людей, которых объединяет праздник.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
06.10;"Девичник: последнее собрание в прежнем кругу. [У] Редакционное размещение; не историческая дата возникновения.";Девичник собирает прежний круг перед переменой. Праздничная встреча сохраняет момент, когда отношения подруг получают новое продолжение.;"Сопоставить последовательность действий и песню выбранной традиции; выделить момент прощания.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
07.10;"Невестина коса: причёска обозначает переход. [У] Редакционное размещение; не историческая дата возникновения.";Невестина причёска меняется в ходе свадьбы. Волосы становятся видимым знаком перехода, который местная традиция оформляет определёнными действиями.;"По локальной записи сопоставить два состояния причёски; показать участников изменения и их действия.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
08.10;"Свадебное причитание: печаль внутри праздника. [У] Редакционное размещение; не историческая дата возникновения.";Свадебное причитание допускает печаль внутри праздника. Голос выражает переживание перемены, не отменяя радости общего события.;"Проследить текст выбранной записи; выделить обращение и прощание, не превращая голос в конкурс веселья.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
09.10;"Причитание и песня: два способа говорить. [У] Редакционное размещение; не историческая дата возникновения.";Причитание и песня по-разному организуют речь. В свадебной записи слышно, как человеческое переживание получает разные музыкальные формы.;"Сравнить два коротких атрибутированных фрагмента одной традиции; отметить свободное и повторяющееся движение фразы.";"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
10.10;"Свадебное деревце: предмет собирает действия. [У] Редакционное размещение; не историческая дата возникновения.";Свадебное деревце собирает вокруг себя действия участников. Небольшой предмет становится опорой местного обряда и последовательности встречи.;По выбранному локальному источнику проследить, кто украшает, несёт и получает предмет.;"Каталог локальных свадебных традиций. Берём только указанные русские традиции; обрядовые подробности требуют чтения карточки выбранного села. Источник: Центр русского фольклора — Свадебные обряды: https://www.culture.ru/traditions/culture-heritage/mythology/mythology-2/mythology-22/mythology-224"
